group	Group1	Group2	Group1_genes	Group1_total	Group2_genes	Group2_total	Group	p_value	fdr	Pathway_Info	Level1	Level2
dog_VS_wolf	dog	wolf	280707	117868629	70072	32027002	dog	2.35E-91	4.50E-88	Cationic antimicrobial peptide (CAMP) resistance	Human Diseases	Drug resistance: antimicrobial
dog_VS_wolf	dog	wolf	10	117868629	19	32027002	dog	3.84E-07	0.000311591	Cell adhesion molecules	Environmental Information Processing	Signaling molecules and interaction
dog_VS_wolf	dog	wolf	498809	117868629	133879	32027002	dog	6.16E-05	0.041470032	Cell cycle - Caulobacter	Cellular Processes	Cell growth and death
dog_VS_wolf	dog	wolf	608126	117868629	195716	32027002	dog	0	0	Cell growth	Not Included in Pathway or Brite	Unclassified: signaling and cellular processes
dog_VS_wolf	dog	wolf	9860	117868629	4532	32027002	dog	1.83E-175	4.05E-172	Cell motility	Not Included in Pathway or Brite	Unclassified: signaling and cellular processes
dog_VS_wolf	dog	wolf	219234	117868629	46720	32027002	dog	0	0	Central carbon metabolism in cancer	Human Diseases	Cancer: overview
dog_VS_wolf	dog	wolf	4141	117868629	345	32027002	dog	3.54E-137	7.38E-134	Chagas disease	Human Diseases	Infectious disease: parasitic
dog_VS_wolf	dog	wolf	1218958	117868629	352980	32027002	dog	6.89E-243	1.63E-239	Chaperones and folding catalysts	Brite Hierarchies	Protein families: genetic information processing
dog_VS_wolf	dog	wolf	13100	117868629	1385	32027002	dog	2.66448167047417e-314	6.66120417618544e-311	Chemical carcinogenesis	Human Diseases	Cancer: overview
dog_VS_wolf	dog	wolf	97550	117868629	28913	32027002	dog	5.52E-38	8.28E-35	Chloroalkane and chloroalkene degradation	Metabolism	Xenobiotics biodegradation and metabolism
dog_VS_wolf	dog	wolf	3358	117868629	1521	32027002	dog	2.82E-57	4.81E-54	Cholesterol metabolism	Organismal Systems	Digestive system
dog_VS_wolf	dog	wolf	24080	117868629	9226	32027002	dog	2.35E-164	5.10E-161	Choline metabolism in cancer	Human Diseases	Cancer: overview
dog_VS_wolf	dog	wolf	425	117868629	43	32027002	dog	3.35E-12	3.48E-09	Cholinergic synapse	Organismal Systems	Nervous system
dog_VS_wolf	dog	wolf	1696977	117868629	485119	32027002	dog	1.01E-214	2.34E-211	Chromosome and associated proteins	Brite Hierarchies	Protein families: genetic information processing
dog_VS_wolf	dog	wolf	112	117868629	85	32027002	dog	6.69E-12	6.90E-09	Chronic myeloid leukemia	Human Diseases	Cancer: specific types
dog_VS_wolf	dog	wolf	497791	117868629	129986	32027002	dog	9.84E-38	1.47E-34	Citrate cycle (TCA cycle)	Metabolism	Carbohydrate metabolism
dog_VS_wolf	dog	wolf	1383	117868629	655	32027002	dog	1.46E-29	2.04E-26	Cocaine addiction	Human Diseases	Substance dependence
dog_VS_wolf	dog	wolf	37466	117868629	10956	32027002	dog	1.81E-11	1.84E-08	Cofactor metabolism	Not Included in Pathway or Brite	Unclassified: metabolism
dog_VS_wolf	dog	wolf	1917	117868629	195	32027002	dog	3.02E-50	4.93E-47	Colorectal cancer	Human Diseases	Cancer: specific types
dog_VS_wolf	dog	wolf	229	117868629	823	32027002	dog	0	0	Coronavirus disease - COVID-19	Human Diseases	Infectious disease: viral
dog_VS_wolf	dog	wolf	6915	117868629	988	32027002	dog	9.12E-93	1.75E-89	Cushing syndrome	Human Diseases	Endocrine and metabolic disease
dog_VS_wolf	dog	wolf	238993	117868629	37866	32027002	dog	0	0	Cyanoamino acid metabolism	Metabolism	Metabolism of other amino acids
dog_VS_wolf	dog	wolf	1001426	117868629	219409	32027002	dog	0	0	Cysteine and methionine metabolism	Metabolism	Amino acid metabolism
dog_VS_wolf	dog	wolf	1328	117868629	584	32027002	dog	7.55E-21	9.52E-18	Cytochrome P450	Brite Hierarchies	Protein families: metabolism
dog_VS_wolf	dog	wolf	3	117868629	10	32027002	dog	2.97E-05	0.020737275	Cytosolic DNA-sensing pathway	Organismal Systems	Immune system
dog_VS_wolf	dog	wolf	143700	117868629	36135	32027002	dog	3.45E-40	5.28E-37	D-Alanine metabolism	Metabolism	Metabolism of other amino acids
dog_VS_wolf	dog	wolf	8556	117868629	1941	32027002	dog	2.82E-13	3.03E-10	D-Arginine and D-ornithine metabolism	Metabolism	Metabolism of other amino acids
dog_VS_wolf	dog	wolf	163499	117868629	48099	32027002	dog	2.79E-52	4.60E-49	D-Glutamine and D-glutamate metabolism	Metabolism	Metabolism of other amino acids
dog_VS_wolf	dog	wolf	3057237	117868629	846717	32027002	dog	1.03E-55	1.73E-52	DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing
dog_VS_wolf	dog	wolf	662419	117868629	177207	32027002	dog	4.84E-09	4.40E-06	DNA replication	Genetic Information Processing	Replication and repair
dog_VS_wolf	dog	wolf	1176842	117868629	327948	32027002	dog	1.19E-37	1.78E-34	DNA replication proteins	Brite Hierarchies	Protein families: genetic information processing
dog_VS_wolf	dog	wolf	23	117868629	26	32027002	dog	1.12E-06	0.000877354	Dilated cardiomyopathy	Human Diseases	Cardiovascular disease
dog_VS_wolf	dog	wolf	25264	117868629	3470	32027002	dog	0	0	Dioxin degradation	Metabolism	Xenobiotics biodegradation and metabolism
dog_VS_wolf	dog	wolf	1398	117868629	655	32027002	dog	1.47E-28	2.04E-25	Dopaminergic synapse	Organismal Systems	Nervous system
dog_VS_wolf	dog	wolf	36886	117868629	9244	32027002	dog	2.48E-12	2.58E-09	Drug metabolism - cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
dog_VS_wolf	dog	wolf	408227	117868629	137890	32027002	dog	0	0	Drug metabolism - other enzymes	Metabolism	Xenobiotics biodegradation and metabolism
dog_VS_wolf	dog	wolf	86	117868629	0	32027002	dog	2.20E-09	2.03E-06	ECM-receptor interaction	Environmental Information Processing	Signaling molecules and interaction
dog_VS_wolf	dog	wolf	55	117868629	195	32027002	dog	3.82E-81	7.07E-78	Endocytosis	Cellular Processes	Transport and catabolism
dog_VS_wolf	dog	wolf	254770	117868629	81357	32027002	dog	0	0	Energy metabolism	Not Included in Pathway or Brite	Unclassified: metabolism
dog_VS_wolf	dog	wolf	2729202	117868629	708164	32027002	dog	3.02E-270	7.35E-267	Enzymes with EC numbers	Not Included in Pathway or Brite	Unclassified: metabolism
dog_VS_wolf	dog	wolf	73532	117868629	25208	32027002	dog	3.04E-214	7.02E-211	Epithelial cell signaling in Helicobacter pylori infection	Human Diseases	Infectious disease: bacterial
dog_VS_wolf	dog	wolf	1910	117868629	190	32027002	dog	1.24E-51	2.04E-48	Epstein-Barr virus infection	Human Diseases	Infectious disease: viral
dog_VS_wolf	dog	wolf	31359	117868629	7609	32027002	dog	3.52E-19	4.31E-16	Estrogen signaling pathway	Organismal Systems	Endocrine system
dog_VS_wolf	dog	wolf	4666	117868629	2469	32027002	dog	1.13E-145	2.38E-142	Ether lipid metabolism	Metabolism	Lipid metabolism
dog_VS_wolf	dog	wolf	8175	117868629	1999	32027002	dog	2.06E-05	0.014611161	Ethylbenzene degradation	Metabolism	Xenobiotics biodegradation and metabolism
dog_VS_wolf	dog	wolf	1438169	117868629	414239	32027002	dog	3.35E-240	7.91E-237	Exosome	Brite Hierarchies	Protein families: signaling and cellular processes
dog_VS_wolf	dog	wolf	26230	117868629	6640	32027002	dog	2.20E-07	0.000181311	Fat digestion and absorption	Organismal Systems	Digestive system
dog_VS_wolf	dog	wolf	567103	117868629	181823	32027002	dog	0	0	Fatty acid biosynthesis	Metabolism	Lipid metabolism
dog_VS_wolf	dog	wolf	207321	117868629	63776	32027002	dog	4.39E-162	9.51E-159	Fatty acid degradation	Metabolism	Lipid metabolism
dog_VS_wolf	dog	wolf	227	117868629	23	32027002	dog	4.05E-07	0.000327982	Fc gamma R-mediated phagocytosis	Organismal Systems	Immune system
dog_VS_wolf	dog	wolf	229165	117868629	78788	32027002	dog	0	0	Flagellar assembly	Cellular Processes	Cell motility
dog_VS_wolf	dog	wolf	7548	117868629	1404	32027002	dog	4.34E-42	6.72E-39	Flavone and flavonol biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
dog_VS_wolf	dog	wolf	15977	117868629	7510	32027002	dog	1.03901938311378e-311	2.59E-308	Flavonoid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
dog_VS_wolf	dog	wolf	173572	117868629	60150	32027002	dog	0	0	Fluid shear stress and atherosclerosis	Human Diseases	Cardiovascular disease
dog_VS_wolf	dog	wolf	8189	117868629	563	32027002	dog	0	0	Fluorobenzoate degradation	Metabolism	Xenobiotics biodegradation and metabolism
dog_VS_wolf	dog	wolf	113	117868629	1	32027002	dog	5.49E-11	5.43E-08	Focal adhesion	Cellular Processes	Cellular community - eukaryotes
dog_VS_wolf	dog	wolf	495987	117868629	153535	32027002	dog	0	0	Folate biosynthesis	Metabolism	Metabolism of cofactors and vitamins
dog_VS_wolf	dog	wolf	21484	117868629	7869	32027002	dog	1.94E-108	3.85E-105	FoxO signaling pathway	Environmental Information Processing	Signal transduction
dog_VS_wolf	dog	wolf	936168	117868629	215164	32027002	dog	0	0	Fructose and mannose metabolism	Metabolism	Carbohydrate metabolism
dog_VS_wolf	dog	wolf	2088941	117868629	571163	32027002	dog	2.41E-05	0.016973255	Function unknown	Not Included in Pathway or Brite	Poorly characterized
dog_VS_wolf	dog	wolf	969	117868629	68	32027002	dog	2.22E-39	3.38E-36	Furfural degradation	Metabolism	Xenobiotics biodegradation and metabolism
dog_VS_wolf	dog	wolf	91327	117868629	22572	32027002	dog	6.89E-38	1.03E-34	GABAergic synapse	Organismal Systems	Nervous system
dog_VS_wolf	dog	wolf	884910	117868629	189547	32027002	dog	0	0	Galactose metabolism	Metabolism	Carbohydrate metabolism
dog_VS_wolf	dog	wolf	417	117868629	22	32027002	dog	7.70E-22	9.86E-19	Gastric cancer	Human Diseases	Cancer: specific types
dog_VS_wolf	dog	wolf	608513	117868629	161670	32027002	dog	7.18E-16	8.25E-13	General function prediction only	Not Included in Pathway or Brite	Poorly characterized
dog_VS_wolf	dog	wolf	19668	117868629	4895	32027002	dog	3.11E-08	2.70E-05	Geraniol degradation	Metabolism	Metabolism of terpenoids and polyketides
dog_VS_wolf	dog	wolf	24049	117868629	4880	32027002	dog	4.93E-82	9.16E-79	Global maps only	Metabolism	Not included in regular maps
dog_VS_wolf	dog	wolf	224439	117868629	46073	32027002	dog	0	0	Glucagon signaling pathway	Organismal Systems	Endocrine system
dog_VS_wolf	dog	wolf	57309	117868629	10567	32027002	dog	2.88040271525447e-320	7.22116960714295e-317	Glucosinolate biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
dog_VS_wolf	dog	wolf	81958	117868629	16895	32027002	dog	1.00E-248	2.38E-245	Glutamatergic synapse	Organismal Systems	Nervous system
dog_VS_wolf	dog	wolf	186694	117868629	41605	32027002	dog	1.88E-305	4.68E-302	Glutathione metabolism	Metabolism	Metabolism of other amino acids
dog_VS_wolf	dog	wolf	59449	117868629	13053	32027002	dog	1.42E-112	2.83E-109	Glycan metabolism	Not Included in Pathway or Brite	Unclassified: metabolism
dog_VS_wolf	dog	wolf	388111	117868629	97716	32027002	dog	1.80E-102	3.53E-99	Glycerolipid metabolism	Metabolism	Lipid metabolism
dog_VS_wolf	dog	wolf	506885	117868629	154749	32027002	dog	0	0	Glycerophospholipid metabolism	Metabolism	Lipid metabolism
dog_VS_wolf	dog	wolf	721725	117868629	165448	32027002	dog	0	0	"Glycine, serine and threonine metabolism "	Metabolism	Amino acid metabolism
dog_VS_wolf	dog	wolf	1197474	117868629	308154	32027002	dog	6.75E-163	1.46E-159	Glycolysis / Gluconeogenesis	Metabolism	Carbohydrate metabolism
dog_VS_wolf	dog	wolf	16179	117868629	5606	32027002	dog	2.41E-53	4.01E-50	Glycosaminoglycan binding proteins	Brite Hierarchies	Protein families: signaling and cellular processes
dog_VS_wolf	dog	wolf	87234	117868629	27130	32027002	dog	3.68E-82	6.84E-79	Glycosaminoglycan degradation	Metabolism	Glycan biosynthesis and metabolism
dog_VS_wolf	dog	wolf	42756	117868629	13145	32027002	dog	1.60E-34	2.33E-31	Glycosphingolipid biosynthesis - ganglio series	Metabolism	Glycan biosynthesis and metabolism
dog_VS_wolf	dog	wolf	92845	117868629	17190	32027002	dog	0	0	Glycosphingolipid biosynthesis - globo and isoglobo series	Metabolism	Glycan biosynthesis and metabolism
dog_VS_wolf	dog	wolf	112	117868629	7	32027002	dog	5.20E-06	0.003895081	Glycosphingolipid biosynthesis - lacto and neolacto series	Metabolism	Glycan biosynthesis and metabolism
dog_VS_wolf	dog	wolf	56881	117868629	18970	32027002	dog	1.76E-127	3.62E-124	Glycosylphosphatidylinositol (GPI)-anchored proteins	Brite Hierarchies	Protein families: signaling and cellular processes
dog_VS_wolf	dog	wolf	340472	117868629	76038	32027002	dog	0	0	Glycosyltransferases	Brite Hierarchies	Protein families: metabolism
dog_VS_wolf	dog	wolf	635375	117868629	141901	32027002	dog	0	0	Glyoxylate and dicarboxylate metabolism	Metabolism	Carbohydrate metabolism
dog_VS_wolf	dog	wolf	245005	117868629	57045	32027002	dog	3.52E-250	8.40E-247	HIF-1 signaling pathway	Environmental Information Processing	Signal transduction
dog_VS_wolf	dog	wolf	1640	117868629	112	32027002	dog	2.81E-67	5.05E-64	Hematopoietic cell lineage	Organismal Systems	Immune system
dog_VS_wolf	dog	wolf	1999	117868629	210	32027002	dog	6.39E-50	1.04E-46	Hepatitis B	Human Diseases	Infectious disease: viral
dog_VS_wolf	dog	wolf	2070	117868629	198	32027002	dog	8.32E-59	1.43E-55	Hepatitis C	Human Diseases	Infectious disease: viral
dog_VS_wolf	dog	wolf	9267	117868629	558	32027002	dog	0	0	Hepatocellular carcinoma	Human Diseases	Cancer: specific types
dog_VS_wolf	dog	wolf	1913	117868629	195	32027002	dog	5.48E-50	8.89E-47	Herpes simplex virus 1 infection	Human Diseases	Infectious disease: viral
dog_VS_wolf	dog	wolf	344220	117868629	80852	32027002	dog	5.0320667342255e-314	1.25751347688295e-310	Histidine metabolism	Metabolism	Amino acid metabolism
dog_VS_wolf	dog	wolf	910878	117868629	243068	32027002	dog	1.70E-15	1.93E-12	Homologous recombination	Genetic Information Processing	Replication and repair
dog_VS_wolf	dog	wolf	3382	117868629	1567	32027002	dog	1.25E-63	2.21E-60	Human T-cell leukemia virus 1 infection	Human Diseases	Infectious disease: viral
dog_VS_wolf	dog	wolf	1907	117868629	182	32027002	dog	1.65E-54	2.76E-51	Human cytomegalovirus infection	Human Diseases	Infectious disease: viral
dog_VS_wolf	dog	wolf	1949	117868629	186	32027002	dog	1.42E-55	2.39E-52	Human immunodeficiency virus 1 infection	Human Diseases	Infectious disease: viral
dog_VS_wolf	dog	wolf	42660	117868629	15157	32027002	dog	1.98E-169	4.32E-166	Human papillomavirus infection	Human Diseases	Infectious disease: viral
dog_VS_wolf	dog	wolf	40513	117868629	14783	32027002	dog	2.79E-197	6.35E-194	Huntington disease	Human Diseases	Neurodegenerative disease
dog_VS_wolf	dog	wolf	48	117868629	38	32027002	dog	2.14E-06	0.001638705	Hypertrophic cardiomyopathy	Human Diseases	Cardiovascular disease
dog_VS_wolf	dog	wolf	31346	117868629	7559	32027002	dog	4.41E-21	5.60E-18	IL-17 signaling pathway	Organismal Systems	Immune system
dog_VS_wolf	dog	wolf	503	117868629	87	32027002	dog	5.58E-05	0.037830717	Indole alkaloid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
dog_VS_wolf	dog	wolf	2230	117868629	237	32027002	dog	1.68E-54	2.81E-51	Influenza A	Human Diseases	Infectious disease: viral
dog_VS_wolf	dog	wolf	134921	117868629	40680	32027002	dog	2.91E-74	5.31E-71	Inositol phosphate metabolism	Metabolism	Carbohydrate metabolism
dog_VS_wolf	dog	wolf	17698	117868629	5381	32027002	dog	8.77E-13	9.32E-10	Insect hormone biosynthesis	Metabolism	Metabolism of terpenoids and polyketides
dog_VS_wolf	dog	wolf	96787	117868629	17843	32027002	dog	0	0	Insulin resistance	Human Diseases	Endocrine and metabolic disease
dog_VS_wolf	dog	wolf	58415	117868629	10919	32027002	dog	2.03E-306	5.05E-303	Insulin signaling pathway	Organismal Systems	Endocrine system
dog_VS_wolf	dog	wolf	395	117868629	1	32027002	dog	8.03E-40	1.23E-36	Ion channels	Brite Hierarchies	Protein families: signaling and cellular processes
dog_VS_wolf	dog	wolf	153	117868629	1	32027002	dog	8.07E-15	9.00E-12	Isoflavonoid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
dog_VS_wolf	dog	wolf	67665	117868629	20781	32027002	dog	1.11E-52	1.85E-49	Isoquinoline alkaloid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
dog_VS_wolf	dog	wolf	1926	117868629	302	32027002	dog	3.41E-21	4.35E-18	Kaposi sarcoma-associated herpesvirus infection	Human Diseases	Infectious disease: viral
dog_VS_wolf	dog	wolf	2	117868629	73	32027002	dog	2.03E-46	3.23E-43	Lectins	Brite Hierarchies	Protein families: signaling and cellular processes
